Rigidity Low,Rigidity High,Ratio,Stat sig,Acc sig,Unf sig,Scale sig,Syst sig,Total sig
1.92,2.15,0.0938,0.0006,0.0025,0.0017,0.0001,0.003,0.0036
2.15,2.4,0.0935,0.0006,0.0024,0.0009,0,0.0026,0.0032
2.4,2.67,0.0924,0.0005,0.0024,0.0007,0,0.0025,0.003
2.67,2.97,0.095,0.0005,0.0024,0.0006,0,0.0025,0.003
2.97,3.29,0.1005,0.0005,0.0025,0.0006,0,0.0025,0.003
3.29,3.64,0.1025,0.0005,0.0025,0.0005,0,0.0025,0.003
3.64,4.02,0.1048,0.0005,0.0025,0.0004,0,0.0025,0.003
4.02,4.43,0.1056,0.0005,0.0025,0.0004,0,0.0025,0.003
4.43,4.88,0.1059,0.0004,0.0025,0.0003,0,0.0025,0.0029
4.88,5.37,0.1062,0.0004,0.0025,0.0003,0,0.0025,0.0029
5.37,5.9,0.1053,0.0004,0.0024,0.0003,0,0.0025,0.0029
5.9,6.47,0.1044,0.0004,0.0024,0.0003,0,0.0024,0.0028
6.47,7.09,0.1033,0.0004,0.0024,0.0003,0,0.0024,0.0028
7.09,7.76,0.1018,0.0004,0.0023,0.0003,0,0.0024,0.0028
7.76,8.48,0.0994,0.0004,0.0023,0.0003,0,0.0023,0.0027
8.48,9.26,0.0989,0.0004,0.0023,0.0003,0,0.0023,0.0027
9.26,10.1,0.0978,0.0004,0.0022,0.0003,0,0.0023,0.0027
10.1,11,0.096,0.0005,0.0022,0.0003,0,0.0022,0.0027
11,12,0.0932,0.0005,0.0021,0.0003,0,0.0022,0.0027
12,13,0.0935,0.0005,0.0021,0.0003,0,0.0022,0.0027
13,14.1,0.0914,0.0005,0.0021,0.0003,0,0.0021,0.0026
14.1,15.3,0.0895,0.0005,0.0021,0.0002,0,0.0021,0.0026
15.3,16.6,0.088,0.0006,0.002,0.0002,0.0001,0.002,0.0026
16.6,18,0.0875,0.0006,0.002,0.0002,0.0001,0.002,0.0026
18,19.5,0.0839,0.0006,0.0019,0.0002,0.0001,0.002,0.0026
19.5,21.1,0.0828,0.0006,0.0019,0.0002,0.0001,0.0019,0.0025
21.1,22.8,0.0809,0.0006,0.0019,0.0002,0.0001,0.0019,0.0025
22.8,24.7,0.0791,0.0006,0.0018,0.0002,0.0001,0.0019,0.0025
24.7,26.7,0.0769,0.0006,0.0018,0.0002,0.0001,0.0018,0.0024
26.7,28.8,0.0754,0.0006,0.0018,0.0002,0.0001,0.0018,0.0024
28.8,31.1,0.0739,0.0006,0.0018,0.0002,0.0001,0.0018,0.0024
31.1,33.5,0.0724,0.0007,0.0017,0.0002,0.0001,0.0017,0.0024
33.5,36.1,0.0704,0.0007,0.0017,0.0002,0.0001,0.0017,0.0024
36.1,38.9,0.0687,0.0007,0.0017,0.0002,0.0001,0.0017,0.0024
38.9,41.9,0.068,0.0008,0.0017,0.0003,0.0001,0.0017,0.0025
41.9,45.1,0.0645,0.0008,0.0016,0.0003,0.0001,0.0016,0.0024
45.1,48.5,0.064,0.0008,0.0016,0.0003,0.0001,0.0016,0.0024
48.5,52.2,0.0606,0.0009,0.0015,0.0003,0.0001,0.0015,0.0024
52.2,56.1,0.0605,0.0009,0.0015,0.0003,0.0001,0.0015,0.0024
56.1,60.3,0.0582,0.001,0.0015,0.0003,0.0001,0.0015,0.0025
60.3,64.8,0.0584,0.001,0.0015,0.0003,0.0001,0.0015,0.0025
64.8,69.7,0.0539,0.001,0.0014,0.0003,0.0001,0.0014,0.0024
69.7,74.9,0.0553,0.0011,0.0014,0.0003,0.0001,0.0015,0.0026
74.9,80.5,0.0522,0.0012,0.0014,0.0003,0.0001,0.0014,0.0026
80.5,86.5,0.0531,0.0013,0.0014,0.0003,0.0001,0.0014,0.0027
86.5,93,0.0505,0.0013,0.0014,0.0003,0.0001,0.0014,0.0027
93,100,0.0508,0.0014,0.0014,0.0003,0.0001,0.0014,0.0028
100,108,0.0471,0.0014,0.0013,0.0003,0.0001,0.0013,0.0027
108,116,0.0483,0.0015,0.0013,0.0003,0.0001,0.0014,0.0029
116,125,0.0462,0.0016,0.0013,0.0003,0.0001,0.0014,0.003
125,135,0.0418,0.0016,0.0012,0.0003,0.0001,0.0013,0.0029
135,147,0.0425,0.0016,0.0012,0.0004,0.0001,0.0013,0.0029
147,160,0.0403,0.0017,0.0012,0.0004,0.0001,0.0013,0.003
160,175,0.0432,0.0018,0.0013,0.0004,0.0002,0.0014,0.0032
175,192,0.0375,0.0018,0.0012,0.0004,0.0002,0.0012,0.003
192,211,0.0353,0.0019,0.0011,0.0004,0.0002,0.0012,0.0031
211,233,0.0394,0.0021,0.0012,0.0006,0.0002,0.0013,0.0034
233,259,0.0333,0.002,0.001,0.0005,0.0002,0.0012,0.0032
259,291,0.0349,0.0022,0.0011,0.0006,0.0002,0.0013,0.0035
291,330,0.0309,0.0022,0.001,0.0006,0.0002,0.0012,0.0034
330,379,0.0309,0.0023,0.001,0.0008,0.0002,0.0013,0.0036
379,441,0.0326,0.0026,0.001,0.001,0.0002,0.0014,0.004
441,525,0.0283,0.0025,0.001,0.001,0.0002,0.0014,0.0039
525,660,0.0295,0.0026,0.001,0.0014,0.0002,0.0017,0.0043
660,880,0.0278,0.0028,0.001,0.0019,0.0001,0.0021,0.0049
880,1300,0.022,0.0028,0.0008,0.0023,0,0.0025,0.0053
1300,3300,0.0131,0.0048,0.0008,0.0013,0,0.0016,0.0064
