Rigidity Low,Rigidity High,Flux,Stat sig,Acc sig,Unf sig,Scale sig,Syst sig,Total sig,Order
1.92,2.15,1.572,0.01,0.051,0.012,0.005,0.053,0.063,1.00E-01
2.15,2.4,1.538,0.009,0.048,0.009,0.004,0.049,0.058,1.00E-01
2.4,2.67,1.437,0.008,0.044,0.008,0.003,0.045,0.053,1.00E-01
2.67,2.97,1.337,0.007,0.04,0.006,0.002,0.04,0.047,1.00E-01
2.97,3.29,1.241,0.006,0.036,0.005,0.001,0.036,0.042,1.00E-01
3.29,3.64,1.1,0.005,0.031,0.004,0,0.032,0.037,1.00E-01
3.64,4.02,9.659,0.042,0.271,0.034,0.006,0.274,0.316,1.00E-02
4.02,4.43,8.316,0.035,0.231,0.028,0.009,0.233,0.268,1.00E-02
4.43,4.88,7.078,0.029,0.195,0.023,0.011,0.197,0.226,1.00E-02
4.88,5.37,5.986,0.023,0.164,0.019,0.011,0.165,0.188,1.00E-02
5.37,5.9,4.945,0.019,0.135,0.016,0.011,0.136,0.155,1.00E-02
5.9,6.47,4.082,0.016,0.111,0.013,0.01,0.112,0.128,1.00E-02
6.47,7.09,3.336,0.013,0.091,0.011,0.009,0.092,0.105,1.00E-02
7.09,7.76,2.702,0.011,0.073,0.009,0.008,0.074,0.085,1.00E-02
7.76,8.48,2.169,0.009,0.059,0.007,0.007,0.06,0.069,1.00E-02
8.48,9.26,1.765,0.007,0.048,0.006,0.006,0.048,0.055,1.00E-02
9.26,10.1,1.422,0.006,0.038,0.005,0.005,0.039,0.045,1.00E-02
10.1,11,1.141,0.005,0.031,0.004,0.004,0.031,0.036,1.00E-02
11,12,9.017,0.043,0.244,0.03,0.034,0.248,0.291,1.00E-03
12,13,7.382,0.038,0.2,0.024,0.029,0.203,0.241,1.00E-03
13,14.1,5.935,0.032,0.161,0.019,0.024,0.164,0.196,1.00E-03
14.1,15.3,4.752,0.027,0.129,0.015,0.019,0.131,0.158,1.00E-03
15.3,16.6,3.812,0.023,0.103,0.012,0.016,0.105,0.128,1.00E-03
16.6,18,3.094,0.019,0.084,0.01,0.013,0.085,0.104,1.00E-03
18,19.5,2.425,0.016,0.066,0.007,0.011,0.067,0.083,1.00E-03
19.5,21.1,1.96,0.013,0.053,0.006,0.009,0.054,0.067,1.00E-03
21.1,22.8,1.563,0.011,0.043,0.005,0.007,0.043,0.054,1.00E-03
22.8,24.7,1.247,0.009,0.034,0.004,0.006,0.035,0.044,1.00E-03
24.7,26.7,9.884,0.075,0.271,0.029,0.046,0.276,0.351,1.00E-04
26.7,28.8,7.913,0.063,0.217,0.023,0.037,0.222,0.285,1.00E-04
28.8,31.1,6.324,0.052,0.174,0.018,0.03,0.178,0.23,1.00E-04
31.1,33.5,5.088,0.045,0.14,0.015,0.025,0.143,0.188,1.00E-04
33.5,36.1,4.066,0.038,0.113,0.012,0.02,0.115,0.153,1.00E-04
36.1,38.9,3.26,0.033,0.091,0.01,0.016,0.093,0.126,1.00E-04
38.9,41.9,2.643,0.028,0.074,0.008,0.014,0.075,0.103,1.00E-04
41.9,45.1,2.047,0.024,0.057,0.007,0.011,0.059,0.083,1.00E-04
45.1,48.5,1.674,0.021,0.047,0.006,0.009,0.048,0.069,1.00E-04
48.5,52.2,1.311,0.018,0.037,0.005,0.007,0.038,0.056,1.00E-04
52.2,56.1,1.074,0.016,0.031,0.004,0.006,0.031,0.047,1.00E-04
56.1,60.3,8.526,0.136,0.244,0.033,0.048,0.251,0.387,1.00E-05
60.3,64.8,6.956,0.119,0.2,0.028,0.041,0.206,0.325,1.00E-05
64.8,69.7,5.299,0.099,0.154,0.023,0.032,0.159,0.258,1.00E-05
69.7,74.9,4.453,0.088,0.13,0.021,0.028,0.134,0.222,1.00E-05
74.9,80.5,3.469,0.075,0.103,0.017,0.022,0.107,0.182,1.00E-05
80.5,86.5,2.865,0.066,0.085,0.015,0.019,0.088,0.154,1.00E-05
86.5,93,2.261,0.056,0.067,0.013,0.016,0.07,0.126,1.00E-05
93,100,1.833,0.049,0.055,0.011,0.013,0.058,0.107,1.00E-05
100,108,1.403,0.04,0.043,0.009,0.01,0.045,0.085,1.00E-05
108,116,1.169,0.036,0.036,0.008,0.009,0.038,0.074,1.00E-05
116,125,9.145,0.302,0.284,0.072,0.074,0.302,0.604,1.00E-06
125,135,6.7,0.245,0.213,0.057,0.056,0.228,0.473,1.00E-06
135,147,5.474,0.202,0.172,0.051,0.048,0.186,0.388,1.00E-06
147,160,4.021,0.166,0.129,0.042,0.037,0.141,0.307,1.00E-06
160,175,3.408,0.142,0.108,0.039,0.034,0.12,0.262,1.00E-06
175,192,2.3,0.11,0.076,0.029,0.024,0.085,0.195,1.00E-06
