Rigidity Low,Rigidity High,Ratio,Stat sig,Acc sig,Unf sig,Scale sig,Syst sig,Total sig
2.15,2.4,0.0996,0.0006,0.0027,0.0011,0,0.0029,0.0035
2.4,2.67,0.1009,0.0006,0.0026,0.0009,0,0.0027,0.0033
2.67,2.97,0.1034,0.0005,0.0025,0.0008,0,0.0026,0.0031
2.97,3.29,0.1082,0.0005,0.0026,0.0007,0,0.0027,0.0032
3.29,3.64,0.1095,0.0005,0.0026,0.0006,0,0.0027,0.0032
3.64,4.02,0.111,0.0005,0.0026,0.0005,0,0.0027,0.0032
4.02,4.43,0.1117,0.0005,0.0026,0.0005,0,0.0027,0.0032
4.43,4.88,0.1121,0.0005,0.0026,0.0004,0,0.0027,0.0032
4.88,5.37,0.1123,0.0005,0.0026,0.0004,0,0.0027,0.0032
5.37,5.9,0.1108,0.0005,0.0026,0.0003,0,0.0026,0.0031
5.9,6.47,0.1096,0.0005,0.0026,0.0003,0,0.0026,0.0031
6.47,7.09,0.1079,0.0004,0.0025,0.0003,0,0.0026,0.003
7.09,7.76,0.1061,0.0004,0.0025,0.0003,0.0001,0.0025,0.0029
7.76,8.48,0.1032,0.0004,0.0024,0.0003,0.0001,0.0025,0.0029
8.48,9.26,0.1022,0.0004,0.0024,0.0003,0.0001,0.0024,0.0028
9.26,10.1,0.1003,0.0005,0.0024,0.0003,0.0001,0.0024,0.0029
10.1,11,0.0985,0.0005,0.0023,0.0003,0.0001,0.0024,0.0029
11,12,0.0948,0.0005,0.0023,0.0003,0.0001,0.0023,0.0028
12,13,0.0944,0.0005,0.0022,0.0003,0.0001,0.0023,0.0028
13,14.1,0.0924,0.0005,0.0022,0.0003,0.0001,0.0022,0.0027
14.1,15.3,0.0904,0.0005,0.0022,0.0003,0.0001,0.0022,0.0027
15.3,16.6,0.0881,0.0006,0.0021,0.0002,0.0001,0.0021,0.0027
16.6,18,0.0874,0.0006,0.0021,0.0002,0.0001,0.0021,0.0027
18,19.5,0.0833,0.0006,0.002,0.0002,0.0001,0.002,0.0026
19.5,21.1,0.0821,0.0006,0.002,0.0002,0.0001,0.002,0.0026
21.1,22.8,0.0796,0.0006,0.0019,0.0002,0.0001,0.0019,0.0025
22.8,24.7,0.0777,0.0006,0.0019,0.0002,0.0001,0.0019,0.0025
24.7,26.7,0.0754,0.0006,0.0019,0.0002,0.0001,0.0019,0.0025
26.7,28.8,0.0736,0.0006,0.0018,0.0002,0.0001,0.0018,0.0024
28.8,31.1,0.0712,0.0006,0.0018,0.0002,0.0001,0.0018,0.0024
31.1,33.5,0.0695,0.0006,0.0017,0.0002,0.0001,0.0018,0.0024
33.5,36.1,0.0677,0.0007,0.0017,0.0002,0.0001,0.0017,0.0024
36.1,38.9,0.0656,0.0007,0.0017,0.0002,0.0001,0.0017,0.0024
38.9,41.9,0.0652,0.0007,0.0017,0.0002,0.0001,0.0017,0.0024
41.9,45.1,0.061,0.0007,0.0016,0.0002,0.0001,0.0016,0.0023
45.1,48.5,0.0604,0.0008,0.0016,0.0002,0.0001,0.0016,0.0024
48.5,52.2,0.0573,0.0008,0.0015,0.0002,0.0001,0.0015,0.0023
52.2,56.1,0.0569,0.0009,0.0015,0.0002,0.0001,0.0015,0.0024
56.1,60.3,0.0552,0.0009,0.0015,0.0002,0.0001,0.0015,0.0024
60.3,64.8,0.0543,0.001,0.0015,0.0002,0.0001,0.0015,0.0025
64.8,69.7,0.0504,0.001,0.0014,0.0002,0.0001,0.0014,0.0024
69.7,74.9,0.0518,0.0011,0.0014,0.0002,0.0001,0.0015,0.0026
74.9,80.5,0.0488,0.0011,0.0014,0.0002,0.0001,0.0014,0.0025
80.5,86.5,0.0488,0.0012,0.0014,0.0003,0.0001,0.0014,0.0026
86.5,93,0.047,0.0012,0.0014,0.0003,0.0001,0.0014,0.0026
93,100,0.0466,0.0013,0.0014,0.0003,0.0001,0.0014,0.0027
100,108,0.0434,0.0013,0.0013,0.0003,0.0001,0.0013,0.0026
108,116,0.044,0.0014,0.0013,0.0003,0.0001,0.0014,0.0028
116,125,0.0419,0.0014,0.0013,0.0003,0.0001,0.0013,0.0027
125,135,0.0379,0.0014,0.0012,0.0003,0.0001,0.0012,0.0026
135,147,0.0386,0.0015,0.0012,0.0003,0.0001,0.0013,0.0028
147,160,0.0361,0.0015,0.0012,0.0003,0.0001,0.0012,0.0027
160,175,0.0386,0.0016,0.0013,0.0004,0.0001,0.0013,0.0029
175,192,0.0331,0.0016,0.0011,0.0004,0.0001,0.0012,0.0028
192,211,0.0315,0.0017,0.0011,0.0004,0.0001,0.0012,0.0029
211,233,0.0346,0.0019,0.0012,0.0005,0.0001,0.0013,0.0032
233,259,0.0302,0.0018,0.0011,0.0005,0.0001,0.0012,0.003
259,291,0.0313,0.0019,0.0011,0.0006,0.0002,0.0013,0.0032
291,330,0.0275,0.0019,0.001,0.0006,0.0001,0.0012,0.0031
330,379,0.0277,0.0021,0.001,0.0007,0.0002,0.0013,0.0034
379,441,0.0286,0.0023,0.0011,0.0008,0.0002,0.0014,0.0037
441,525,0.0269,0.0024,0.0011,0.001,0.0002,0.0014,0.0038
525,660,0.0276,0.0024,0.0011,0.0013,0.0002,0.0017,0.0041
660,880,0.0253,0.0025,0.001,0.0017,0.0001,0.002,0.0045
880,1300,0.019,0.0024,0.0008,0.002,0.0001,0.0022,0.0046
1300,3300,0.0124,0.0046,0.0009,0.0012,0.0001,0.0015,0.0061
