Rigidity Low,Rigidity High,Ratio,Stat sig,Acc sig,Unf sig,Scale sig,Syst sig,Total sig
1.92,2.15,0.2867,0.0013,0.015,0.0051,0.0002,0.0159,0.0172
2.15,2.4,0.2915,0.0011,0.0137,0.0031,0.0002,0.014,0.0151
2.4,2.67,0.2995,0.001,0.0127,0.0025,0.0002,0.0129,0.0139
2.67,2.97,0.3061,0.001,0.0117,0.0022,0.0002,0.0119,0.0129
2.97,3.29,0.3142,0.001,0.011,0.0019,0.0001,0.0111,0.0121
3.29,3.64,0.3199,0.0009,0.0102,0.0017,0.0001,0.0104,0.0113
3.64,4.02,0.325,0.0009,0.0096,0.0014,0,0.0097,0.0106
4.02,4.43,0.3253,0.0009,0.009,0.0012,0.0001,0.0091,0.01
4.43,4.88,0.3213,0.0009,0.0084,0.0011,0.0001,0.0085,0.0094
4.88,5.37,0.3188,0.0008,0.0079,0.001,0.0001,0.008,0.0088
5.37,5.9,0.3149,0.0008,0.0075,0.0009,0.0002,0.0075,0.0083
5.9,6.47,0.3093,0.0008,0.0071,0.0008,0.0002,0.0072,0.008
6.47,7.09,0.3056,0.0008,0.0068,0.0008,0.0002,0.0069,0.0077
7.09,7.76,0.2993,0.0008,0.0065,0.0008,0.0001,0.0066,0.0074
7.76,8.48,0.2943,0.0008,0.0063,0.0008,0.0001,0.0064,0.0072
8.48,9.26,0.291,0.0008,0.0062,0.0008,0.0001,0.0062,0.007
9.26,10.1,0.2857,0.0008,0.006,0.0007,0.0001,0.006,0.0068
10.1,11,0.2823,0.0008,0.0058,0.0007,0.0001,0.0059,0.0067
11,12,0.2765,0.0009,0.0057,0.0007,0.0001,0.0057,0.0066
12,13,0.2712,0.0009,0.0055,0.0007,0.0001,0.0056,0.0065
13,14.1,0.2639,0.0009,0.0054,0.0007,0.0001,0.0054,0.0063
14.1,15.3,0.2597,0.001,0.0053,0.0007,0.0002,0.0053,0.0063
15.3,16.6,0.2543,0.001,0.0052,0.0007,0.0002,0.0052,0.0062
16.6,18,0.2461,0.001,0.005,0.0006,0.0002,0.0051,0.0061
18,19.5,0.2425,0.0011,0.005,0.0006,0.0002,0.005,0.0061
19.5,21.1,0.2363,0.0011,0.0049,0.0006,0.0002,0.0049,0.006
21.1,22.8,0.2298,0.0011,0.0047,0.0006,0.0002,0.0048,0.0059
22.8,24.7,0.2238,0.0011,0.0047,0.0006,0.0002,0.0047,0.0058
24.7,26.7,0.219,0.0011,0.0046,0.0006,0.0002,0.0046,0.0057
26.7,28.8,0.2145,0.0011,0.0045,0.0006,0.0002,0.0045,0.0056
28.8,31.1,0.2086,0.0011,0.0044,0.0006,0.0002,0.0045,0.0056
31.1,33.5,0.2017,0.0012,0.0043,0.0006,0.0002,0.0044,0.0056
33.5,36.1,0.1988,0.0012,0.0043,0.0007,0.0002,0.0044,0.0056
36.1,38.9,0.1904,0.0013,0.0042,0.0007,0.0002,0.0042,0.0055
38.9,41.9,0.1834,0.0013,0.0041,0.0007,0.0002,0.0041,0.0054
41.9,45.1,0.18,0.0014,0.004,0.0007,0.0002,0.0041,0.0055
45.1,48.5,0.178,0.0015,0.004,0.0007,0.0002,0.0041,0.0056
48.5,52.2,0.1694,0.0015,0.0039,0.0007,0.0002,0.004,0.0055
52.2,56.1,0.1668,0.0016,0.0039,0.0007,0.0002,0.004,0.0056
56.1,60.3,0.1618,0.0017,0.0038,0.0007,0.0002,0.0039,0.0056
60.3,64.8,0.1589,0.0018,0.0038,0.0007,0.0002,0.0039,0.0057
64.8,69.7,0.1519,0.0018,0.0037,0.0007,0.0002,0.0038,0.0056
69.7,74.9,0.1489,0.0019,0.0037,0.0007,0.0002,0.0037,0.0056
74.9,80.5,0.1434,0.002,0.0036,0.0007,0.0002,0.0036,0.0056
80.5,86.5,0.142,0.0021,0.0036,0.0008,0.0002,0.0037,0.0058
86.5,93,0.1388,0.0022,0.0035,0.0008,0.0003,0.0036,0.0058
93,100,0.134,0.0023,0.0035,0.0008,0.0003,0.0036,0.0059
100,108,0.1247,0.0023,0.0033,0.0008,0.0003,0.0034,0.0057
108,116,0.1256,0.0026,0.0034,0.0008,0.0003,0.0035,0.0061
116,125,0.123,0.0026,0.0033,0.0008,0.0003,0.0034,0.006
125,135,0.1157,0.0027,0.0032,0.0009,0.0003,0.0033,0.006
135,147,0.1176,0.0028,0.0033,0.0009,0.0003,0.0034,0.0062
147,160,0.1148,0.003,0.0033,0.001,0.0003,0.0035,0.0065
160,175,0.1131,0.0031,0.0033,0.0011,0.0004,0.0034,0.0065
175,192,0.1096,0.0032,0.0031,0.0012,0.0004,0.0034,0.0066
192,211,0.1025,0.0033,0.003,0.0012,0.0004,0.0032,0.0065
211,233,0.104,0.0036,0.0031,0.0014,0.0004,0.0034,0.007
233,259,0.097,0.0036,0.0029,0.0014,0.0004,0.0033,0.0069
259,291,0.0929,0.0036,0.003,0.0016,0.0005,0.0034,0.007
291,330,0.0883,0.0038,0.0027,0.0017,0.0005,0.0032,0.007
330,379,0.0829,0.0039,0.0027,0.0019,0.0005,0.0033,0.0072
379,441,0.0884,0.0044,0.0028,0.0023,0.0006,0.0037,0.0081
441,525,0.0782,0.0042,0.0025,0.0024,0.0006,0.0035,0.0077
525,660,0.0703,0.0041,0.0022,0.0027,0.0006,0.0035,0.0076
660,880,0.0717,0.0046,0.0023,0.0037,0.0007,0.0044,0.009
880,1300,0.0733,0.0053,0.0023,0.0054,0.0007,0.0059,0.0112
1300,3300,0.0465,0.0095,0.0022,0.0033,0.0005,0.004,0.0135
