Rigidity Low,Rigidity High,Flux,Stat sig,Acc sig,Unf sig,Scale sig,Syst sig,Total sig,Order
1.92,2.15,4.852,0.019,0.268,0.061,0.023,0.276,0.295,1.00E-01
2.15,2.4,4.845,0.016,0.24,0.046,0.017,0.245,0.261,1.00E-01
2.4,2.67,4.703,0.014,0.21,0.037,0.011,0.214,0.228,1.00E-01
2.67,2.97,4.352,0.012,0.177,0.029,0.006,0.179,0.191,1.00E-01
2.97,3.29,3.921,0.01,0.146,0.022,0.002,0.148,0.158,1.00E-01
3.29,3.64,3.468,0.009,0.119,0.017,0.001,0.121,0.13,1.00E-01
3.64,4.02,3.024,0.007,0.097,0.013,0.002,0.098,0.105,1.00E-01
4.02,4.43,2.588,0.006,0.078,0.01,0.003,0.079,0.085,1.00E-01
4.43,4.88,2.17,0.005,0.062,0.007,0.003,0.063,0.068,1.00E-01
4.88,5.37,1.814,0.004,0.05,0.006,0.004,0.05,0.054,1.00E-01
5.37,5.9,1.494,0.003,0.04,0.005,0.003,0.04,0.043,1.00E-01
5.9,6.47,1.222,0.003,0.032,0.004,0.003,0.032,0.035,1.00E-01
6.47,7.09,9.973,0.023,0.252,0.029,0.028,0.255,0.278,1.00E-02
7.09,7.76,8.024,0.018,0.199,0.024,0.025,0.202,0.22,1.00E-02
7.76,8.48,6.488,0.015,0.159,0.019,0.021,0.161,0.176,1.00E-02
8.48,9.26,5.248,0.013,0.127,0.016,0.018,0.129,0.142,1.00E-02
9.26,10.1,4.199,0.011,0.101,0.013,0.015,0.103,0.114,1.00E-02
10.1,11,3.389,0.009,0.081,0.01,0.013,0.082,0.091,1.00E-02
11,12,2.701,0.007,0.064,0.008,0.01,0.065,0.072,1.00E-02
12,13,2.162,0.007,0.051,0.006,0.009,0.052,0.059,1.00E-02
13,14.1,1.731,0.006,0.041,0.005,0.007,0.042,0.048,1.00E-02
14.1,15.3,1.393,0.005,0.033,0.004,0.006,0.033,0.038,1.00E-02
15.3,16.6,1.113,0.004,0.026,0.003,0.005,0.027,0.031,1.00E-02
16.6,18,8.788,0.033,0.207,0.024,0.038,0.212,0.245,1.00E-03
18,19.5,7.075,0.028,0.166,0.019,0.032,0.17,0.198,1.00E-03
19.5,21.1,5.646,0.023,0.133,0.015,0.026,0.136,0.159,1.00E-03
21.1,22.8,4.486,0.019,0.106,0.012,0.021,0.109,0.128,1.00E-03
22.8,24.7,3.563,0.015,0.085,0.009,0.017,0.087,0.102,1.00E-03
24.7,26.7,2.841,0.013,0.068,0.007,0.014,0.069,0.082,1.00E-03
26.7,28.8,2.275,0.011,0.054,0.006,0.011,0.056,0.067,1.00E-03
28.8,31.1,1.802,0.009,0.043,0.004,0.009,0.044,0.053,1.00E-03
31.1,33.5,1.432,0.008,0.035,0.004,0.007,0.036,0.044,1.00E-03
33.5,36.1,1.159,0.006,0.028,0.003,0.006,0.029,0.035,1.00E-03
36.1,38.9,9.12,0.055,0.223,0.023,0.048,0.229,0.284,1.00E-04
38.9,41.9,7.194,0.047,0.178,0.019,0.038,0.183,0.23,1.00E-04
41.9,45.1,5.773,0.041,0.143,0.016,0.031,0.147,0.188,1.00E-04
45.1,48.5,4.701,0.036,0.117,0.013,0.026,0.121,0.157,1.00E-04
48.5,52.2,3.702,0.03,0.094,0.011,0.021,0.097,0.127,1.00E-04
52.2,56.1,2.99,0.027,0.076,0.009,0.017,0.079,0.106,1.00E-04
56.1,60.3,2.394,0.023,0.062,0.008,0.014,0.064,0.087,1.00E-04
60.3,64.8,1.91,0.02,0.05,0.007,0.011,0.051,0.071,1.00E-04
64.8,69.7,1.509,0.017,0.04,0.006,0.009,0.041,0.058,1.00E-04
69.7,74.9,1.212,0.015,0.032,0.005,0.008,0.033,0.048,1.00E-04
74.9,80.5,9.623,0.126,0.257,0.043,0.062,0.268,0.394,1.00E-05
80.5,86.5,7.739,0.109,0.209,0.037,0.051,0.218,0.327,1.00E-05
86.5,93,6.273,0.094,0.17,0.033,0.042,0.179,0.273,1.00E-05
93,100,4.879,0.08,0.135,0.028,0.034,0.142,0.222,1.00E-05
100,108,3.757,0.065,0.106,0.023,0.027,0.112,0.177,1.00E-05
108,116,3.068,0.059,0.088,0.021,0.023,0.093,0.152,1.00E-05
116,125,2.46,0.05,0.07,0.018,0.019,0.075,0.125,1.00E-05
125,135,1.874,0.041,0.055,0.015,0.015,0.059,0.1,1.00E-05
135,147,1.528,0.034,0.045,0.014,0.013,0.049,0.083,1.00E-05
147,160,1.158,0.028,0.035,0.011,0.01,0.038,0.066,1.00E-05
160,175,9.01,0.233,0.271,0.099,0.085,0.301,0.534,1.00E-06
175,192,6.788,0.189,0.203,0.083,0.069,0.229,0.418,1.00E-06
192,211,5.026,0.154,0.153,0.069,0.055,0.176,0.33,1.00E-06
211,233,3.845,0.125,0.119,0.059,0.045,0.14,0.265,1.00E-06
233,259,2.799,0.098,0.087,0.048,0.036,0.106,0.204,1.00E-06
259,291,2.001,0.075,0.066,0.039,0.029,0.082,0.157,1.00E-06
291,330,1.352,0.055,0.043,0.03,0.022,0.057,0.112,1.00E-06
330,379,9.053,0.404,0.302,0.233,0.167,0.416,0.82,1.00E-07
379,441,6.365,0.301,0.205,0.191,0.136,0.312,0.613,1.00E-07
441,525,3.879,0.202,0.127,0.139,0.097,0.212,0.414,1.00E-07
525,660,2.036,0.115,0.065,0.091,0.063,0.128,0.243,1.00E-07
660,880,1.043,0.065,0.035,0.062,0.042,0.082,0.147,1.00E-07
880,1300,4.361,0.303,0.142,0.366,0.235,0.457,0.76,1.00E-08
1300,3300,0.55,0.11,0.026,0.045,0.037,0.064,0.174,1.00E-08
