Rigidity Low,Rigidity High,Ratio,Stat sig,Acc sig,Unf sig,Scale sig,Syst sig,Total sig
2.15,2.4,0.3106,0.0012,0.0144,0.0035,0.0003,0.0148,0.016
2.4,2.67,0.327,0.0012,0.0137,0.003,0.0002,0.014,0.0152
2.67,2.97,0.3333,0.0011,0.0127,0.0026,0.0001,0.013,0.0141
2.97,3.29,0.3384,0.0011,0.0118,0.0023,0.0001,0.012,0.0131
3.29,3.64,0.342,0.001,0.011,0.0019,0,0.0112,0.0122
3.64,4.02,0.3442,0.001,0.0103,0.0017,0.0001,0.0104,0.0114
4.02,4.43,0.3442,0.001,0.0097,0.0014,0.0001,0.0098,0.0108
4.43,4.88,0.3401,0.0009,0.0091,0.0012,0.0002,0.0092,0.0101
4.88,5.37,0.3371,0.0009,0.0086,0.0011,0.0002,0.0087,0.0096
5.37,5.9,0.3314,0.0009,0.0082,0.001,0.0002,0.0082,0.0091
5.9,6.47,0.3248,0.0009,0.0078,0.0009,0.0002,0.0078,0.0087
6.47,7.09,0.3194,0.0008,0.0075,0.0009,0.0002,0.0075,0.0083
7.09,7.76,0.3119,0.0008,0.0072,0.0008,0.0002,0.0072,0.008
7.76,8.48,0.3056,0.0008,0.007,0.0008,0.0002,0.007,0.0078
8.48,9.26,0.3007,0.0008,0.0068,0.0008,0.0002,0.0068,0.0076
9.26,10.1,0.2931,0.0008,0.0065,0.0008,0.0002,0.0066,0.0074
10.1,11,0.2896,0.0009,0.0064,0.0008,0.0002,0.0065,0.0074
11,12,0.2812,0.0009,0.0062,0.0007,0.0002,0.0063,0.0072
12,13,0.2738,0.001,0.006,0.0007,0.0002,0.0061,0.0071
13,14.1,0.2668,0.001,0.0059,0.0007,0.0002,0.0059,0.0069
14.1,15.3,0.2623,0.001,0.0058,0.0007,0.0002,0.0058,0.0068
15.3,16.6,0.2547,0.001,0.0056,0.0007,0.0002,0.0057,0.0067
16.6,18,0.2458,0.001,0.0054,0.0006,0.0002,0.0055,0.0065
18,19.5,0.2405,0.0011,0.0053,0.0006,0.0002,0.0054,0.0065
19.5,21.1,0.234,0.0011,0.0052,0.0006,0.0002,0.0053,0.0064
21.1,22.8,0.2262,0.0011,0.0051,0.0006,0.0002,0.0051,0.0062
22.8,24.7,0.2199,0.0011,0.005,0.0006,0.0002,0.005,0.0061
24.7,26.7,0.2145,0.0011,0.0049,0.0006,0.0002,0.0049,0.006
26.7,28.8,0.2095,0.0011,0.0048,0.0006,0.0002,0.0048,0.0059
28.8,31.1,0.2009,0.0011,0.0046,0.0006,0.0002,0.0047,0.0058
31.1,33.5,0.1938,0.0011,0.0045,0.0006,0.0002,0.0046,0.0057
33.5,36.1,0.1911,0.0012,0.0045,0.0006,0.0002,0.0045,0.0057
36.1,38.9,0.1818,0.0012,0.0043,0.0006,0.0002,0.0044,0.0056
38.9,41.9,0.1758,0.0013,0.0043,0.0006,0.0002,0.0043,0.0056
41.9,45.1,0.1704,0.0013,0.0042,0.0006,0.0002,0.0042,0.0055
45.1,48.5,0.1678,0.0014,0.0041,0.0006,0.0002,0.0042,0.0056
48.5,52.2,0.16,0.0014,0.004,0.0006,0.0002,0.0041,0.0055
52.2,56.1,0.157,0.0015,0.004,0.0006,0.0002,0.004,0.0055
56.1,60.3,0.1534,0.0016,0.004,0.0006,0.0002,0.004,0.0056
60.3,64.8,0.1476,0.0017,0.0039,0.0006,0.0002,0.0039,0.0056
64.8,69.7,0.142,0.0017,0.0038,0.0006,0.0002,0.0038,0.0055
69.7,74.9,0.1397,0.0018,0.0038,0.0006,0.0002,0.0038,0.0056
74.9,80.5,0.134,0.0019,0.0037,0.0006,0.0002,0.0037,0.0056
80.5,86.5,0.1305,0.002,0.0036,0.0007,0.0002,0.0037,0.0057
86.5,93,0.1291,0.0021,0.0036,0.0007,0.0002,0.0037,0.0058
93,100,0.1228,0.0021,0.0035,0.0007,0.0002,0.0036,0.0057
100,108,0.1151,0.0021,0.0034,0.0007,0.0002,0.0035,0.0056
108,116,0.1144,0.0023,0.0034,0.0007,0.0002,0.0035,0.0058
116,125,0.1116,0.0024,0.0033,0.0007,0.0003,0.0034,0.0058
125,135,0.105,0.0024,0.0032,0.0008,0.0003,0.0033,0.0057
135,147,0.1066,0.0025,0.0033,0.0008,0.0003,0.0035,0.006
147,160,0.103,0.0027,0.0033,0.0009,0.0003,0.0035,0.0062
160,175,0.101,0.0028,0.0033,0.001,0.0003,0.0034,0.0062
175,192,0.0967,0.0028,0.0031,0.001,0.0003,0.0033,0.0061
192,211,0.0914,0.0029,0.003,0.0011,0.0003,0.0032,0.0061
211,233,0.0914,0.0031,0.0031,0.0012,0.0003,0.0033,0.0064
233,259,0.088,0.0032,0.003,0.0013,0.0004,0.0033,0.0065
259,291,0.0834,0.0033,0.003,0.0014,0.0004,0.0034,0.0067
291,330,0.0784,0.0034,0.0028,0.0015,0.0004,0.0032,0.0066
330,379,0.0744,0.0035,0.0028,0.0017,0.0004,0.0033,0.0068
379,441,0.0775,0.0038,0.0029,0.002,0.0005,0.0036,0.0074
441,525,0.0743,0.004,0.0028,0.0023,0.0005,0.0037,0.0077
525,660,0.0658,0.0039,0.0025,0.0025,0.0005,0.0036,0.0075
660,880,0.0653,0.0042,0.0026,0.0033,0.0006,0.0043,0.0085
880,1300,0.0634,0.0046,0.0026,0.0046,0.0008,0.0053,0.0099
1300,3300,0.0439,0.009,0.0025,0.0031,0.0007,0.0041,0.0131
