Rigidity Low,Rigidity High,Flux,Stat sig,Acc sig,Unf sig,Scale sig,Syst sig,Total sig,Order
1.92,2.15,1.626,0.003,0.045,0.033,0.008,0.056,0.059,1
2.15,2.4,1.613,0.003,0.042,0.018,0.005,0.047,0.05,1
2.4,2.67,1.54,0.003,0.039,0.014,0.003,0.042,0.045,1
2.67,2.97,1.404,0.002,0.035,0.011,0.001,0.037,0.039,1
2.97,3.29,1.238,0.002,0.03,0.008,0,0.031,0.033,1
3.29,3.64,1.077,0.002,0.026,0.006,0,0.026,0.028,1
3.64,4.02,9.241,0.013,0.219,0.042,0.006,0.223,0.236,0.1
4.02,4.43,7.897,0.011,0.185,0.031,0.008,0.188,0.199,0.1
4.43,4.88,6.703,0.009,0.156,0.022,0.009,0.157,0.166,0.1
4.88,5.37,5.653,0.007,0.13,0.016,0.009,0.132,0.139,0.1
5.37,5.9,4.716,0.006,0.108,0.012,0.009,0.109,0.115,0.1
5.9,6.47,3.931,0.005,0.09,0.009,0.009,0.091,0.096,0.1
6.47,7.09,3.249,0.004,0.074,0.007,0.008,0.075,0.079,0.1
7.09,7.76,2.67,0.003,0.061,0.005,0.007,0.061,0.064,0.1
7.76,8.48,2.195,0.003,0.05,0.004,0.006,0.05,0.053,0.1
8.48,9.26,1.795,0.002,0.041,0.003,0.005,0.041,0.043,0.1
9.26,10.1,1.462,0.002,0.033,0.003,0.005,0.034,0.036,0.1
10.1,11,1.193,0.002,0.027,0.002,0.004,0.027,0.029,0.1
11,12,9.699,0.014,0.219,0.017,0.032,0.223,0.237,0.01
12,13,7.906,0.013,0.179,0.015,0.027,0.182,0.195,0.01
13,14.1,6.496,0.011,0.147,0.013,0.023,0.149,0.16,0.01
14.1,15.3,5.303,0.009,0.12,0.011,0.019,0.122,0.131,0.01
15.3,16.6,4.321,0.008,0.098,0.009,0.016,0.1,0.108,0.01
16.6,18,3.521,0.007,0.08,0.008,0.013,0.081,0.088,0.01
18,19.5,2.873,0.006,0.065,0.007,0.011,0.066,0.072,0.01
19.5,21.1,2.351,0.005,0.053,0.006,0.009,0.055,0.06,0.01
21.1,22.8,1.92,0.004,0.044,0.005,0.007,0.045,0.049,0.01
22.8,24.7,1.566,0.003,0.036,0.005,0.006,0.037,0.04,0.01
24.7,26.7,1.276,0.003,0.029,0.004,0.005,0.03,0.033,0.01
26.7,28.8,1.043,0.002,0.024,0.003,0.004,0.024,0.026,0.01
28.8,31.1,8.499,0.019,0.195,0.029,0.034,0.2,0.219,0.001
31.1,33.5,6.989,0.017,0.161,0.025,0.028,0.165,0.182,0.001
33.5,36.1,5.741,0.015,0.132,0.022,0.024,0.136,0.151,0.001
36.1,38.9,4.718,0.013,0.109,0.019,0.02,0.112,0.125,0.001
38.9,41.9,3.865,0.011,0.089,0.016,0.016,0.092,0.103,0.001
41.9,45.1,3.16,0.01,0.073,0.014,0.013,0.076,0.086,0.001
45.1,48.5,2.603,0.008,0.06,0.012,0.011,0.063,0.071,0.001
48.5,52.2,2.154,0.007,0.05,0.01,0.009,0.052,0.059,0.001
52.2,56.1,1.768,0.007,0.041,0.009,0.008,0.043,0.05,0.001
56.1,60.3,1.459,0.006,0.034,0.007,0.007,0.035,0.041,0.001
60.3,64.8,1.186,0.005,0.028,0.006,0.005,0.029,0.034,0.001
64.8,69.7,9.799,0.043,0.23,0.053,0.046,0.24,0.283,0.0001
69.7,74.9,8.036,0.038,0.189,0.044,0.038,0.198,0.236,0.0001
74.9,80.5,6.63,0.033,0.156,0.037,0.032,0.164,0.197,0.0001
80.5,86.5,5.392,0.029,0.127,0.031,0.027,0.134,0.163,0.0001
86.5,93,4.475,0.025,0.106,0.026,0.023,0.111,0.136,0.0001
93,100,3.611,0.022,0.085,0.022,0.019,0.09,0.112,0.0001
100,108,2.99,0.019,0.071,0.018,0.016,0.075,0.094,0.0001
108,116,2.429,0.017,0.058,0.015,0.013,0.061,0.078,0.0001
116,125,1.992,0.014,0.047,0.012,0.011,0.05,0.064,0.0001
125,135,1.616,0.012,0.038,0.01,0.009,0.041,0.053,0.0001
135,147,1.299,0.01,0.031,0.008,0.008,0.033,0.043,0.0001
147,160,1.009,0.008,0.024,0.007,0.006,0.026,0.034,0.0001
160,175,7.979,0.07,0.191,0.054,0.051,0.205,0.275,0.00001
175,192,6.208,0.058,0.149,0.043,0.042,0.16,0.218,0.00001
192,211,4.918,0.049,0.118,0.036,0.035,0.128,0.177,0.00001
211,233,3.707,0.039,0.089,0.029,0.028,0.098,0.137,0.00001
233,259,2.892,0.032,0.07,0.024,0.024,0.077,0.109,0.00001
259,291,2.159,0.025,0.052,0.019,0.019,0.059,0.084,0.00001
291,330,1.535,0.019,0.037,0.015,0.015,0.043,0.062,0.00001
330,379,1.094,0.014,0.027,0.012,0.013,0.032,0.046,0.00001
379,441,7.205,0.103,0.177,0.096,0.099,0.225,0.328,0.000001
441,525,4.959,0.073,0.123,0.078,0.085,0.169,0.242,0.000001
525,643,2.982,0.048,0.075,0.057,0.066,0.115,0.163,0.000001
643,822,1.63,0.029,0.042,0.039,0.048,0.075,0.104,0.000001
822,1130,7.825,0.152,0.207,0.248,0.317,0.453,0.605,0.0000001
1130,1800,3.014,0.145,0.1,0.072,0.132,0.181,0.326,0.0000001
1800,3000,8.423,0.574,0.303,0.324,0.616,0.759,1.333,0.00000001
