E [GeV] Edge 1,E [GeV] Edge 2,E,E sig,N,N sig,Flux,Stat sig,Syst sig,Total sig,Order
0.5,0.65,0.57,0.02,7629,91,1.731,0.021,0.078,0.099,1.00E+01
0.65,0.82,0.73,0.02,86810,301,1.71,0.006,0.063,0.069,1.00E+01
0.82,1.01,0.91,0.03,197265,451,1.658,0.004,0.049,0.053,1.00E+01
1.01,1.22,1.11,0.03,328584,579,1.562,0.003,0.038,0.041,1.00E+01
1.22,1.46,1.33,0.03,494218,709,1.391,0.002,0.028,0.03,1.00E+01
1.46,1.72,1.58,0.04,748885,872,1.2,0.001,0.02,0.021,1.00E+01
1.72,2,1.85,0.04,1036495,1027,1.027,0.001,0.015,0.016,1.00E+01
2,2.31,2.15,0.05,1302149,1153,8.403,0.007,0.11,0.117,1.00E+00
2.31,2.65,2.47,0.05,1512278,1243,6.897,0.006,0.083,0.089,1.00E+00
2.65,3,2.82,0.06,1558061,1264,5.504,0.004,0.064,0.068,1.00E+00
3,3.36,3.17,0.06,1540803,1256,4.405,0.004,0.05,0.054,1.00E+00
3.36,3.73,3.54,0.07,1497077,1236,3.555,0.003,0.04,0.043,1.00E+00
3.73,4.12,3.92,0.08,1463912,1222,2.859,0.002,0.032,0.034,1.00E+00
4.12,4.54,4.32,0.08,1437643,1208,2.279,0.002,0.025,0.027,1.00E+00
4.54,5,4.76,0.09,1419809,1200,1.8,0.002,0.02,0.022,1.00E+00
5,5.49,5.24,0.1,1364759,1176,1.409,0.001,0.016,0.017,1.00E+00
5.49,6,5.74,0.11,1273522,1137,1.104,0.001,0.013,0.014,1.00E+00
6,6.54,6.26,0.12,1195202,1103,8.715,0.008,0.1,0.108,1.00E-01
6.54,7.1,6.81,0.13,1074027,1043,6.885,0.007,0.079,0.086,1.00E-01
7.1,7.69,7.39,0.14,964312,989,5.439,0.006,0.063,0.069,1.00E-01
7.69,8.3,7.99,0.15,843948,924,4.309,0.005,0.051,0.056,1.00E-01
8.3,8.95,8.62,0.16,755410,874,3.415,0.004,0.04,0.044,1.00E-01
