Rigidity Low,Rigidity High,Flux,Stat sig,Acc sig,Unf sig,Scale sig,Syst sig,Total sig,Order
1.92,2.15,6.947,0.004,0.11,0.112,0.018,0.158,0.162,1.00E+01
2.15,2.4,6.411,0.004,0.089,0.049,0.01,0.102,0.106,1.00E+01
2.4,2.67,5.751,0.003,0.074,0.034,0.004,0.081,0.084,1.00E+01
2.67,2.97,5.112,0.003,0.064,0.027,0.001,0.069,0.072,1.00E+01
2.97,3.29,4.49,0.002,0.057,0.021,0.002,0.06,0.062,1.00E+01
3.29,3.64,3.89,0.002,0.05,0.016,0.004,0.053,0.055,1.00E+01
3.64,4.02,3.329,0.002,0.044,0.012,0.005,0.046,0.048,1.00E+01
4.02,4.43,2.822,0.001,0.038,0.009,0.005,0.04,0.041,1.00E+01
4.43,4.88,2.368,0.001,0.032,0.007,0.005,0.033,0.034,1.00E+01
4.88,5.37,1.968,0.001,0.027,0.005,0.004,0.028,0.029,1.00E+01
5.37,5.9,1.624,0.001,0.022,0.004,0.004,0.023,0.024,1.00E+01
5.9,6.47,1.334,0.001,0.018,0.003,0.003,0.019,0.02,1.00E+01
6.47,7.09,1.092,0,0.015,0.002,0.003,0.015,0.015,1.00E+01
7.09,7.76,8.92,0.004,0.117,0.019,0.026,0.121,0.125,1.00E+00
7.76,8.48,7.278,0.003,0.094,0.015,0.022,0.097,0.1,1.00E+00
8.48,9.26,5.927,0.003,0.075,0.012,0.019,0.079,0.082,1.00E+00
9.26,10.1,4.828,0.002,0.061,0.01,0.016,0.064,0.066,1.00E+00
10.1,11,3.927,0.002,0.049,0.008,0.014,0.051,0.053,1.00E+00
11,12,3.186,0.002,0.039,0.007,0.011,0.042,0.044,1.00E+00
12,13,2.597,0.001,0.032,0.006,0.009,0.034,0.035,1.00E+00
13,14.1,2.122,0.001,0.026,0.005,0.008,0.028,0.029,1.00E+00
14.1,15.3,1.73,0.001,0.021,0.004,0.007,0.023,0.024,1.00E+00
15.3,16.6,1.406,0.001,0.017,0.004,0.005,0.018,0.019,1.00E+00
16.6,18,1.141,0.001,0.014,0.003,0.004,0.015,0.016,1.00E+00
18,19.5,9.268,0.006,0.114,0.027,0.036,0.122,0.128,1.00E-01
19.5,21.1,7.53,0.005,0.092,0.023,0.03,0.1,0.105,1.00E-01
21.1,22.8,6.131,0.004,0.075,0.019,0.024,0.081,0.085,1.00E-01
22.8,24.7,4.986,0.004,0.061,0.017,0.02,0.066,0.07,1.00E-01
24.7,26.7,4.049,0.003,0.05,0.014,0.016,0.054,0.057,1.00E-01
26.7,28.8,3.302,0.003,0.041,0.012,0.013,0.044,0.047,1.00E-01
28.8,31.1,2.694,0.002,0.033,0.01,0.011,0.036,0.038,1.00E-01
31.1,33.5,2.201,0.002,0.027,0.009,0.009,0.03,0.032,1.00E-01
33.5,36.1,1.802,0.002,0.022,0.007,0.007,0.024,0.026,1.00E-01
36.1,38.9,1.475,0.001,0.018,0.006,0.006,0.02,0.021,1.00E-01
38.9,41.9,1.203,0.001,0.015,0.005,0.005,0.016,0.017,1.00E-01
41.9,45.1,9.861,0.011,0.121,0.044,0.041,0.135,0.146,1.00E-02
45.1,48.5,8.092,0.009,0.099,0.037,0.034,0.111,0.12,1.00E-02
48.5,52.2,6.627,0.008,0.081,0.031,0.028,0.091,0.099,1.00E-02
52.2,56.1,5.446,0.007,0.067,0.026,0.023,0.075,0.082,1.00E-02
56.1,60.3,4.481,0.006,0.055,0.022,0.019,0.062,0.068,1.00E-02
60.3,64.8,3.685,0.005,0.045,0.018,0.016,0.051,0.056,1.00E-02
64.8,69.7,3.036,0.005,0.037,0.015,0.013,0.042,0.047,1.00E-02
69.7,74.9,2.496,0.004,0.031,0.012,0.011,0.035,0.039,1.00E-02
74.9,80.5,2.051,0.004,0.025,0.01,0.009,0.029,0.033,1.00E-02
80.5,86.5,1.681,0.003,0.021,0.008,0.008,0.024,0.027,1.00E-02
86.5,93,1.387,0.003,0.017,0.007,0.006,0.02,0.023,1.00E-02
93,100,1.14,0.002,0.014,0.006,0.005,0.016,0.018,1.00E-02
100,108,9.311,0.02,0.116,0.045,0.045,0.132,0.152,1.00E-03
108,116,7.597,0.018,0.095,0.037,0.037,0.108,0.126,1.00E-03
116,125,6.186,0.016,0.078,0.03,0.031,0.089,0.105,1.00E-03
125,135,5.029,0.013,0.064,0.024,0.026,0.073,0.086,1.00E-03
135,147,4.036,0.011,0.051,0.019,0.022,0.059,0.07,1.00E-03
147,160,3.187,0.009,0.041,0.015,0.018,0.047,0.056,1.00E-03
160,175,2.521,0.008,0.033,0.012,0.015,0.038,0.046,1.00E-03
175,192,1.972,0.006,0.026,0.009,0.012,0.03,0.036,1.00E-03
192,211,1.532,0.005,0.021,0.007,0.01,0.024,0.029,1.00E-03
211,233,1.17,0.004,0.016,0.006,0.008,0.019,0.023,1.00E-03
233,259,8.895,0.034,0.124,0.044,0.062,0.146,0.18,1.00E-04
259,291,6.552,0.026,0.094,0.035,0.048,0.111,0.137,1.00E-04
291,330,4.758,0.02,0.07,0.027,0.038,0.084,0.104,1.00E-04
330,379,3.339,0.015,0.051,0.021,0.03,0.063,0.078,1.00E-04
379,441,2.274,0.011,0.036,0.017,0.023,0.046,0.057,1.00E-04
441,525,1.473,0.008,0.024,0.013,0.017,0.032,0.04,1.00E-04
525,643,9.095,0.05,0.158,0.093,0.125,0.222,0.272,1.00E-05
643,822,4.983,0.03,0.092,0.063,0.087,0.141,0.171,1.00E-05
822,1130,2.412,0.016,0.047,0.04,0.057,0.084,0.1,1.00E-05
1130,1800,8.831,0.065,0.184,0.216,0.326,0.432,0.497,1.00E-06
1800,3000,2.518,0.026,0.055,0.101,0.162,0.199,0.225,1.00E-06
