Rigidity Low,Rigidity High,Ratio,Stat sig,Acc sig,Unf sig,Scale sig,Syst sig,Total sig
1.92,2.15,0.167,0.0009,0.0041,0.003,0,0.005,0.0059
2.15,2.4,0.1723,0.0008,0.0044,0.0017,0.0001,0.0047,0.0055
2.4,2.67,0.1805,0.0008,0.0045,0.0014,0.0001,0.0047,0.0055
2.67,2.97,0.1917,0.0007,0.0047,0.0013,0.0001,0.0049,0.0056
2.97,3.29,0.2023,0.0007,0.0048,0.0011,0.0001,0.005,0.0057
3.29,3.64,0.2102,0.0007,0.0049,0.001,0,0.005,0.0057
3.64,4.02,0.2145,0.0007,0.005,0.0009,0.0001,0.005,0.0057
4.02,4.43,0.2183,0.0007,0.005,0.0008,0,0.005,0.0057
4.43,4.88,0.2197,0.0007,0.005,0.0007,0,0.005,0.0057
4.88,5.37,0.2201,0.0006,0.0049,0.0006,0.0001,0.005,0.0056
5.37,5.9,0.2211,0.0006,0.0049,0.0006,0.0001,0.005,0.0056
5.9,6.47,0.2191,0.0006,0.0049,0.0006,0.0001,0.0049,0.0055
6.47,7.09,0.218,0.0006,0.0048,0.0006,0.0001,0.0048,0.0054
7.09,7.76,0.217,0.0006,0.0048,0.0006,0.0001,0.0048,0.0054
7.76,8.48,0.2134,0.0006,0.0047,0.0006,0.0001,0.0047,0.0053
8.48,9.26,0.2111,0.0006,0.0046,0.0006,0.0001,0.0047,0.0053
9.26,10.1,0.2089,0.0007,0.0046,0.0006,0.0001,0.0046,0.0053
10.1,11,0.2038,0.0007,0.0045,0.0006,0.0001,0.0045,0.0052
11,12,0.1999,0.0007,0.0044,0.0006,0.0001,0.0044,0.0051
12,13,0.1971,0.0008,0.0043,0.0006,0.0001,0.0044,0.0052
13,14.1,0.1925,0.0008,0.0042,0.0006,0.0001,0.0043,0.0051
14.1,15.3,0.1884,0.0008,0.0041,0.0006,0.0001,0.0042,0.005
15.3,16.6,0.1842,0.0008,0.0041,0.0006,0.0001,0.0041,0.0049
16.6,18,0.179,0.0008,0.004,0.0006,0.0001,0.004,0.0048
18,19.5,0.1748,0.0009,0.0039,0.0006,0.0001,0.0039,0.0048
19.5,21.1,0.1692,0.0009,0.0037,0.0006,0.0001,0.0038,0.0047
21.1,22.8,0.1649,0.0009,0.0037,0.0006,0.0001,0.0037,0.0046
22.8,24.7,0.1624,0.0009,0.0036,0.0006,0.0002,0.0037,0.0046
24.7,26.7,0.1577,0.0009,0.0035,0.0005,0.0002,0.0036,0.0045
26.7,28.8,0.1531,0.0009,0.0034,0.0005,0.0002,0.0035,0.0044
28.8,31.1,0.1504,0.0009,0.0034,0.0005,0.0002,0.0034,0.0043
31.1,33.5,0.1456,0.001,0.0033,0.0005,0.0002,0.0033,0.0043
33.5,36.1,0.1407,0.001,0.0032,0.0005,0.0002,0.0032,0.0042
36.1,38.9,0.1367,0.001,0.0031,0.0005,0.0002,0.0031,0.0041
38.9,41.9,0.1338,0.0011,0.003,0.0005,0.0002,0.0031,0.0042
41.9,45.1,0.1291,0.0011,0.0029,0.0005,0.0002,0.003,0.0041
45.1,48.5,0.1296,0.0012,0.003,0.0006,0.0002,0.003,0.0042
48.5,52.2,0.1207,0.0012,0.0028,0.0005,0.0001,0.0028,0.004
52.2,56.1,0.1184,0.0013,0.0027,0.0005,0.0002,0.0028,0.0041
56.1,60.3,0.1135,0.0014,0.0026,0.0005,0.0002,0.0027,0.0041
60.3,64.8,0.1127,0.0014,0.0026,0.0005,0.0002,0.0027,0.0041
64.8,69.7,0.1079,0.0015,0.0025,0.0005,0.0002,0.0026,0.0041
69.7,74.9,0.1075,0.0016,0.0025,0.0006,0.0002,0.0026,0.0042
74.9,80.5,0.0999,0.0016,0.0024,0.0005,0.0002,0.0024,0.004
80.5,86.5,0.0992,0.0017,0.0024,0.0006,0.0002,0.0024,0.0041
86.5,93,0.097,0.0018,0.0023,0.0006,0.0002,0.0024,0.0042
93,100,0.0945,0.0019,0.0023,0.0006,0.0002,0.0023,0.0042
100,108,0.0899,0.0019,0.0022,0.0006,0.0002,0.0022,0.0041
108,116,0.0846,0.002,0.0021,0.0005,0.0002,0.0021,0.0041
116,125,0.0808,0.0021,0.002,0.0005,0.0002,0.0021,0.0042
125,135,0.0821,0.0022,0.002,0.0006,0.0002,0.0021,0.0043
135,147,0.0798,0.0022,0.002,0.0006,0.0002,0.0021,0.0043
147,160,0.0818,0.0024,0.002,0.0007,0.0002,0.0021,0.0045
160,175,0.0776,0.0025,0.0019,0.0007,0.0002,0.0021,0.0046
175,192,0.0752,0.0026,0.0019,0.0007,0.0003,0.002,0.0046
192,211,0.0725,0.0027,0.0018,0.0008,0.0003,0.002,0.0047
211,233,0.0696,0.0028,0.0018,0.0008,0.0003,0.002,0.0048
233,259,0.0697,0.0029,0.0018,0.0009,0.0003,0.002,0.0049
259,291,0.0603,0.0028,0.0016,0.0009,0.0003,0.0018,0.0046
291,330,0.0609,0.003,0.0016,0.001,0.0003,0.0019,0.0049
330,379,0.0625,0.0032,0.0016,0.0012,0.0003,0.002,0.0052
379,441,0.0659,0.0036,0.0017,0.0014,0.0003,0.0023,0.0059
441,525,0.0517,0.0033,0.0014,0.0013,0.0002,0.0019,0.0052
525,660,0.0527,0.0034,0.0014,0.0017,0.0002,0.0022,0.0056
660,880,0.051,0.0037,0.0014,0.0022,0.0001,0.0026,0.0063
880,1300,0.0469,0.004,0.0013,0.0029,0.0001,0.0032,0.0072
1300,3300,0.0486,0.009,0.002,0.0035,0.0003,0.0041,0.0131
