Rigidity Low,Rigidity High,Flux,Stat sig,Acc sig,Unf sig,Scale sig,Syst sig,Total sig,Order
1.92,2.15,2.827,0.014,0.086,0.02,0.013,0.089,0.103,1.00E-01
2.15,2.4,2.863,0.012,0.08,0.017,0.01,0.082,0.094,1.00E-01
2.4,2.67,2.835,0.011,0.077,0.014,0.007,0.078,0.089,1.00E-01
2.67,2.97,2.725,0.009,0.072,0.011,0.004,0.073,0.082,1.00E-01
2.97,3.29,2.524,0.008,0.066,0.009,0.002,0.067,0.075,1.00E-01
3.29,3.64,2.278,0.007,0.06,0.007,0.001,0.06,0.067,1.00E-01
3.64,4.02,1.996,0.006,0.052,0.006,0.001,0.052,0.058,1.00E-01
4.02,4.43,1.737,0.005,0.045,0.005,0.002,0.045,0.05,1.00E-01
4.43,4.88,1.484,0.004,0.038,0.004,0.002,0.039,0.043,1.00E-01
4.88,5.37,1.252,0.003,0.032,0.003,0.002,0.033,0.036,1.00E-01
5.37,5.9,1.049,0.003,0.027,0.003,0.002,0.027,0.03,1.00E-01
5.9,6.47,8.656,0.023,0.224,0.024,0.021,0.226,0.249,1.00E-02
6.47,7.09,7.115,0.019,0.184,0.021,0.02,0.186,0.205,1.00E-02
7.09,7.76,5.818,0.016,0.15,0.018,0.017,0.152,0.168,1.00E-02
7.76,8.48,4.703,0.013,0.122,0.015,0.015,0.123,0.136,1.00E-02
8.48,9.26,3.806,0.011,0.098,0.013,0.013,0.1,0.111,1.00E-02
9.26,10.1,3.07,0.009,0.079,0.011,0.011,0.081,0.09,1.00E-02
10.1,11,2.447,0.008,0.063,0.009,0.009,0.064,0.072,1.00E-02
11,12,1.953,0.006,0.05,0.007,0.007,0.052,0.058,1.00E-02
12,13,1.571,0.006,0.041,0.006,0.006,0.041,0.047,1.00E-02
13,14.1,1.263,0.005,0.033,0.005,0.005,0.033,0.038,1.00E-02
14.1,15.3,1.01,0.004,0.026,0.004,0.004,0.027,0.031,1.00E-02
15.3,16.6,8.063,0.033,0.209,0.031,0.035,0.214,0.247,1.00E-03
16.6,18,6.394,0.028,0.165,0.024,0.028,0.17,0.198,1.00E-03
18,19.5,5.101,0.023,0.132,0.019,0.023,0.135,0.158,1.00E-03
19.5,21.1,4.043,0.019,0.105,0.015,0.019,0.107,0.126,1.00E-03
21.1,22.8,3.22,0.016,0.083,0.012,0.015,0.086,0.102,1.00E-03
22.8,24.7,2.585,0.013,0.067,0.01,0.012,0.069,0.082,1.00E-03
24.7,26.7,2.046,0.011,0.053,0.008,0.01,0.054,0.065,1.00E-03
26.7,28.8,1.624,0.009,0.042,0.006,0.008,0.043,0.052,1.00E-03
28.8,31.1,1.299,0.007,0.034,0.005,0.006,0.035,0.042,1.00E-03
31.1,33.5,1.034,0.006,0.027,0.004,0.005,0.028,0.034,1.00E-03
33.5,36.1,8.206,0.054,0.213,0.031,0.042,0.219,0.273,1.00E-04
36.1,38.9,6.546,0.046,0.17,0.025,0.034,0.175,0.221,1.00E-04
38.9,41.9,5.249,0.04,0.137,0.02,0.028,0.141,0.181,1.00E-04
41.9,45.1,4.139,0.034,0.108,0.016,0.022,0.111,0.145,1.00E-04
45.1,48.5,3.421,0.03,0.089,0.014,0.019,0.092,0.122,1.00E-04
48.5,52.2,2.639,0.025,0.069,0.011,0.015,0.071,0.096,1.00E-04
52.2,56.1,2.122,0.022,0.056,0.009,0.012,0.058,0.08,1.00E-04
56.1,60.3,1.68,0.019,0.044,0.007,0.01,0.046,0.065,1.00E-04
60.3,64.8,1.355,0.016,0.036,0.006,0.008,0.037,0.053,1.00E-04
64.8,69.7,1.071,0.014,0.028,0.005,0.006,0.029,0.043,1.00E-04
69.7,74.9,8.747,0.122,0.231,0.042,0.054,0.241,0.363,1.00E-05
74.9,80.5,6.701,0.103,0.178,0.034,0.043,0.186,0.289,1.00E-05
80.5,86.5,5.409,0.089,0.144,0.029,0.036,0.151,0.24,1.00E-05
86.5,93,4.382,0.077,0.117,0.025,0.03,0.123,0.2,1.00E-05
93,100,3.441,0.066,0.092,0.02,0.024,0.097,0.163,1.00E-05
100,108,2.708,0.054,0.073,0.017,0.02,0.077,0.131,1.00E-05
108,116,2.066,0.048,0.056,0.014,0.015,0.059,0.107,1.00E-05
116,125,1.615,0.04,0.044,0.012,0.012,0.047,0.087,1.00E-05
125,135,1.329,0.034,0.036,0.01,0.011,0.039,0.073,1.00E-05
135,147,1.038,0.027,0.028,0.009,0.009,0.031,0.058,1.00E-05
147,160,8.249,0.234,0.224,0.074,0.073,0.247,0.481,1.00E-06
160,175,6.182,0.188,0.169,0.061,0.057,0.188,0.376,1.00E-06
175,192,4.659,0.153,0.128,0.05,0.046,0.145,0.298,1.00E-06
192,211,3.554,0.126,0.098,0.042,0.037,0.113,0.239,1.00E-06
211,233,2.571,0.099,0.071,0.034,0.029,0.084,0.183,1.00E-06
233,259,2.009,0.081,0.056,0.029,0.024,0.068,0.149,1.00E-06
259,291,1.298,0.058,0.036,0.021,0.017,0.046,0.104,1.00E-06
291,330,9.327,0.446,0.263,0.173,0.136,0.343,0.789,1.00E-07
330,379,6.826,0.339,0.192,0.145,0.111,0.265,0.604,1.00E-07
379,441,4.744,0.251,0.134,0.117,0.088,0.199,0.45,1.00E-07
441,525,2.563,0.158,0.074,0.075,0.054,0.119,0.277,1.00E-07
525,660,1.525,0.096,0.044,0.056,0.039,0.081,0.177,1.00E-07
660,880,7.418,0.525,0.217,0.363,0.237,0.485,1.01,1.00E-08
