Rigidity Low,Rigidity High,Ratio,Stat sig,Acc sig,Unf sig,Scale sig,Syst sig,Total sig
2.15,2.4,0.1835,0.0009,0.005,0.002,0.0001,0.0054,0.0063
2.4,2.67,0.1971,0.0008,0.0052,0.0017,0.0001,0.0055,0.0063
2.67,2.97,0.2087,0.0008,0.0052,0.0016,0.0001,0.0055,0.0063
2.97,3.29,0.2178,0.0008,0.0053,0.0014,0.0001,0.0054,0.0062
3.29,3.64,0.2247,0.0008,0.0053,0.0012,0,0.0054,0.0062
3.64,4.02,0.2272,0.0008,0.0052,0.001,0,0.0053,0.0061
4.02,4.43,0.231,0.0008,0.0052,0.0009,0,0.0053,0.0061
4.43,4.88,0.2326,0.0007,0.0052,0.0008,0.0001,0.0053,0.006
4.88,5.37,0.2327,0.0007,0.0052,0.0007,0.0001,0.0052,0.0059
5.37,5.9,0.2327,0.0007,0.0052,0.0007,0.0001,0.0052,0.0059
5.9,6.47,0.2301,0.0007,0.0051,0.0006,0.0001,0.0051,0.0058
6.47,7.09,0.2279,0.0007,0.005,0.0006,0.0001,0.0051,0.0058
7.09,7.76,0.2262,0.0007,0.005,0.0006,0.0001,0.005,0.0057
7.76,8.48,0.2216,0.0007,0.0049,0.0006,0.0001,0.005,0.0057
8.48,9.26,0.2181,0.0007,0.0048,0.0006,0.0001,0.0049,0.0056
9.26,10.1,0.2143,0.0007,0.0048,0.0006,0.0001,0.0048,0.0055
10.1,11,0.2091,0.0007,0.0047,0.0007,0.0001,0.0047,0.0054
11,12,0.2033,0.0007,0.0045,0.0006,0.0002,0.0046,0.0053
12,13,0.1989,0.0008,0.0045,0.0006,0.0002,0.0045,0.0053
13,14.1,0.1945,0.0008,0.0044,0.0006,0.0002,0.0044,0.0052
14.1,15.3,0.1903,0.0008,0.0043,0.0006,0.0002,0.0043,0.0051
15.3,16.6,0.1845,0.0008,0.0042,0.0006,0.0002,0.0042,0.005
16.6,18,0.1788,0.0008,0.004,0.0006,0.0002,0.0041,0.0049
18,19.5,0.1734,0.0009,0.0039,0.0006,0.0002,0.004,0.0049
19.5,21.1,0.1676,0.0009,0.0038,0.0006,0.0002,0.0038,0.0047
21.1,22.8,0.1624,0.0009,0.0037,0.0005,0.0002,0.0037,0.0046
22.8,24.7,0.1595,0.0009,0.0036,0.0005,0.0002,0.0037,0.0046
24.7,26.7,0.1545,0.0009,0.0035,0.0005,0.0002,0.0036,0.0045
26.7,28.8,0.1496,0.0009,0.0034,0.0005,0.0002,0.0035,0.0044
28.8,31.1,0.1448,0.0009,0.0033,0.0005,0.0002,0.0034,0.0043
31.1,33.5,0.1399,0.0009,0.0032,0.0005,0.0002,0.0033,0.0042
33.5,36.1,0.1352,0.001,0.0031,0.0005,0.0002,0.0032,0.0042
36.1,38.9,0.1305,0.001,0.0031,0.0005,0.0002,0.0031,0.0041
38.9,41.9,0.1283,0.001,0.003,0.0005,0.0002,0.0031,0.0041
41.9,45.1,0.1222,0.0011,0.0029,0.0005,0.0002,0.0029,0.004
45.1,48.5,0.1221,0.0011,0.0029,0.0005,0.0002,0.003,0.0041
48.5,52.2,0.1141,0.0012,0.0027,0.0005,0.0002,0.0028,0.004
52.2,56.1,0.1114,0.0012,0.0027,0.0005,0.0002,0.0027,0.0039
56.1,60.3,0.1076,0.0013,0.0026,0.0005,0.0002,0.0027,0.004
60.3,64.8,0.1047,0.0013,0.0026,0.0005,0.0002,0.0026,0.0039
64.8,69.7,0.1008,0.0014,0.0025,0.0005,0.0002,0.0025,0.0039
69.7,74.9,0.1008,0.0015,0.0025,0.0005,0.0002,0.0026,0.0041
74.9,80.5,0.0933,0.0015,0.0024,0.0005,0.0002,0.0024,0.0039
80.5,86.5,0.0912,0.0016,0.0023,0.0005,0.0002,0.0024,0.004
86.5,93,0.0901,0.0017,0.0023,0.0005,0.0002,0.0024,0.0041
93,100,0.0866,0.0017,0.0023,0.0005,0.0002,0.0023,0.004
100,108,0.0829,0.0017,0.0022,0.0005,0.0002,0.0022,0.0039
108,116,0.077,0.0019,0.002,0.0005,0.0002,0.0021,0.004
116,125,0.0733,0.0019,0.002,0.0005,0.0002,0.002,0.0039
125,135,0.0744,0.002,0.002,0.0005,0.0002,0.0021,0.0041
135,147,0.0724,0.002,0.002,0.0005,0.0002,0.0021,0.0041
147,160,0.0734,0.0022,0.002,0.0006,0.0002,0.0021,0.0043
160,175,0.0693,0.0022,0.0019,0.0006,0.0002,0.002,0.0042
175,192,0.0664,0.0023,0.0019,0.0006,0.0002,0.002,0.0043
192,211,0.0646,0.0024,0.0019,0.0007,0.0002,0.002,0.0044
211,233,0.0611,0.0024,0.0018,0.0007,0.0002,0.0019,0.0043
233,259,0.0632,0.0026,0.0019,0.0008,0.0002,0.0021,0.0047
259,291,0.0541,0.0025,0.0017,0.0008,0.0002,0.0018,0.0043
291,330,0.0541,0.0027,0.0017,0.0009,0.0002,0.0019,0.0046
330,379,0.0561,0.0029,0.0018,0.001,0.0002,0.0021,0.005
379,441,0.0577,0.0032,0.0019,0.0012,0.0002,0.0022,0.0054
441,525,0.0491,0.0031,0.0016,0.0013,0.0002,0.0021,0.0052
525,660,0.0493,0.0032,0.0017,0.0016,0.0001,0.0023,0.0055
660,880,0.0464,0.0034,0.0016,0.002,0.0001,0.0026,0.006
880,1300,0.0405,0.0035,0.0015,0.0025,0,0.0029,0.0064
1300,3300,0.0459,0.0085,0.0023,0.0033,0.0001,0.0041,0.0126
