Rigidity Low,Rigidity High,Flux,Stat sig,Acc sig,Unf sig,Scale sig,Syst sig,Total sig,Order
2.15,2.4,1.588,0.003,0.05,0.02,0.008,0.054,0.057,1.00E+00
2.4,2.67,1.469,0.003,0.044,0.015,0.004,0.047,0.05,1.00E+00
2.67,2.97,1.33,0.002,0.039,0.012,0.002,0.04,0.042,1.00E+00
2.97,3.29,1.17,0.002,0.033,0.009,0.001,0.034,0.036,1.00E+00
3.29,3.64,1.012,0.002,0.028,0.006,0,0.029,0.031,1.00E+00
3.64,4.02,8.674,0.013,0.237,0.046,0.005,0.241,0.254,1.00E-01
4.02,4.43,7.37,0.011,0.199,0.033,0.007,0.202,0.213,1.00E-01
4.43,4.88,6.235,0.009,0.167,0.024,0.008,0.169,0.178,1.00E-01
4.88,5.37,5.26,0.007,0.14,0.018,0.008,0.142,0.149,1.00E-01
5.37,5.9,4.397,0.006,0.117,0.013,0.008,0.118,0.124,1.00E-01
5.9,6.47,3.66,0.005,0.097,0.01,0.008,0.098,0.103,1.00E-01
6.47,7.09,3.042,0.004,0.081,0.007,0.007,0.082,0.086,1.00E-01
7.09,7.76,2.51,0.003,0.067,0.005,0.006,0.067,0.07,1.00E-01
7.76,8.48,2.074,0.003,0.055,0.004,0.005,0.056,0.059,1.00E-01
8.48,9.26,1.708,0.002,0.046,0.003,0.005,0.046,0.048,1.00E-01
9.26,10.1,1.404,0.002,0.038,0.003,0.004,0.038,0.04,1.00E-01
10.1,11,1.148,0.002,0.031,0.002,0.003,0.031,0.033,1.00E-01
11,12,9.424,0.015,0.253,0.018,0.028,0.255,0.27,1.00E-02
12,13,7.75,0.013,0.208,0.015,0.024,0.21,0.223,1.00E-02
13,14.1,6.366,0.011,0.171,0.013,0.02,0.173,0.184,1.00E-02
14.1,15.3,5.204,0.009,0.14,0.011,0.017,0.141,0.15,1.00E-02
15.3,16.6,4.28,0.008,0.115,0.009,0.014,0.117,0.125,1.00E-02
16.6,18,3.498,0.007,0.094,0.008,0.012,0.095,0.102,1.00E-02
18,19.5,2.876,0.006,0.078,0.007,0.01,0.079,0.085,1.00E-02
19.5,21.1,2.359,0.005,0.064,0.006,0.008,0.065,0.07,1.00E-02
21.1,22.8,1.939,0.004,0.053,0.005,0.007,0.053,0.057,1.00E-02
22.8,24.7,1.586,0.003,0.043,0.004,0.006,0.044,0.047,1.00E-02
24.7,26.7,1.297,0.003,0.035,0.004,0.005,0.036,0.039,1.00E-02
26.7,28.8,1.064,0.002,0.029,0.003,0.004,0.029,0.031,1.00E-02
28.8,31.1,8.801,0.021,0.24,0.027,0.034,0.244,0.265,1.00E-03
31.1,33.5,7.256,0.018,0.199,0.024,0.028,0.202,0.22,1.00E-03
33.5,36.1,5.962,0.015,0.164,0.02,0.024,0.167,0.182,1.00E-03
36.1,38.9,4.933,0.014,0.136,0.018,0.02,0.138,0.152,1.00E-03
38.9,41.9,4.027,0.012,0.111,0.015,0.016,0.113,0.125,1.00E-03
41.9,45.1,3.336,0.01,0.092,0.013,0.014,0.094,0.104,1.00E-03
45.1,48.5,2.761,0.009,0.077,0.011,0.012,0.078,0.087,1.00E-03
48.5,52.2,2.28,0.008,0.064,0.01,0.01,0.065,0.073,1.00E-03
52.2,56.1,1.877,0.007,0.053,0.008,0.008,0.054,0.061,1.00E-03
56.1,60.3,1.538,0.006,0.043,0.007,0.007,0.044,0.05,1.00E-03
60.3,64.8,1.274,0.005,0.036,0.006,0.006,0.037,0.042,1.00E-03
64.8,69.7,1.045,0.005,0.03,0.005,0.005,0.03,0.035,1.00E-03
69.7,74.9,8.535,0.041,0.243,0.042,0.04,0.25,0.291,1.00E-04
74.9,80.5,7.059,0.036,0.202,0.035,0.034,0.208,0.244,1.00E-04
80.5,86.5,5.828,0.032,0.168,0.03,0.029,0.173,0.205,1.00E-04
86.5,93,4.78,0.027,0.138,0.025,0.024,0.143,0.17,1.00E-04
93,100,3.91,0.024,0.114,0.021,0.02,0.117,0.141,1.00E-04
100,108,3.214,0.02,0.094,0.017,0.017,0.097,0.117,1.00E-04
108,116,2.642,0.018,0.078,0.015,0.014,0.08,0.098,1.00E-04
116,125,2.174,0.016,0.064,0.012,0.012,0.067,0.083,1.00E-04
125,135,1.762,0.013,0.053,0.01,0.01,0.054,0.067,1.00E-04
135,147,1.415,0.011,0.042,0.008,0.009,0.044,0.055,1.00E-04
147,160,1.111,0.009,0.034,0.007,0.007,0.035,0.044,1.00E-04
160,175,8.817,0.077,0.269,0.054,0.059,0.281,0.358,1.00E-05
175,192,6.938,0.064,0.214,0.045,0.049,0.224,0.288,1.00E-05
192,211,5.436,0.054,0.169,0.037,0.041,0.178,0.232,1.00E-05
211,233,4.155,0.044,0.13,0.03,0.034,0.138,0.182,1.00E-05
233,259,3.142,0.035,0.1,0.025,0.028,0.106,0.141,1.00E-05
259,291,2.369,0.027,0.076,0.02,0.023,0.082,0.109,1.00E-05
291,330,1.701,0.021,0.055,0.017,0.019,0.061,0.082,1.00E-05
330,379,1.199,0.016,0.04,0.013,0.015,0.045,0.061,1.00E-05
379,441,8.082,0.115,0.273,0.107,0.119,0.317,0.432,1.00E-06
441,525,5.121,0.079,0.177,0.082,0.092,0.215,0.294,1.00E-06
525,643,3.175,0.052,0.113,0.064,0.071,0.148,0.2,1.00E-06
643,822,1.735,0.031,0.064,0.046,0.05,0.093,0.124,1.00E-06
822,1130,8.722,0.17,0.333,0.315,0.332,0.566,0.736,1.00E-07
1130,1800,3.224,0.165,0.148,0.077,0.128,0.21,0.375,1.00E-07
1800,3000,8.982,0.652,0.44,0.377,0.59,0.827,1.479,1.00E-08
