Rigidity Low,Rigidity High,Flux,Stat sig,Acc sig,Unf sig,Scale sig,Syst sig,Total sig,Order
1,1.16,8.247,0.004,0.091,0.081,0.03,0.125,0.129,1.00E+02
1.16,1.33,7.986,0.003,0.087,0.055,0.018,0.105,0.108,1.00E+02
1.33,1.51,7.601,0.002,0.082,0.037,0.01,0.09,0.092,1.00E+02
1.51,1.71,7.055,0.002,0.076,0.025,0.005,0.08,0.082,1.00E+02
1.71,1.92,6.398,0.001,0.068,0.019,0.001,0.071,0.072,1.00E+02
1.92,2.15,5.672,0.001,0.06,0.016,0.002,0.062,0.063,1.00E+02
2.15,2.4,4.933,0.001,0.052,0.014,0.004,0.054,0.055,1.00E+02
2.4,2.67,4.248,0.001,0.044,0.013,0.005,0.046,0.047,1.00E+02
2.67,2.97,3.619,0.001,0.037,0.012,0.005,0.04,0.041,1.00E+02
2.97,3.29,3.062,0.001,0.031,0.01,0.005,0.033,0.034,1.00E+02
3.29,3.64,2.571,0,0.026,0.009,0.005,0.028,0.028,1.00E+02
3.64,4.02,2.145,0,0.022,0.008,0.005,0.023,0.023,1.00E+02
4.02,4.43,1.779,0,0.018,0.006,0.004,0.019,0.019,1.00E+02
4.43,4.88,1.465,0,0.015,0.005,0.004,0.016,0.016,1.00E+02
4.88,5.37,1.197,0,0.012,0.004,0.003,0.013,0.013,1.00E+02
5.37,5.9,9.729,0.002,0.094,0.035,0.027,0.104,0.106,1.00E+01
5.9,6.47,7.883,0.001,0.075,0.028,0.023,0.084,0.085,1.00E+01
6.47,7.09,6.371,0.001,0.06,0.023,0.019,0.067,0.068,1.00E+01
7.09,7.76,5.138,0.001,0.048,0.018,0.016,0.054,0.055,1.00E+01
7.76,8.48,4.139,0.001,0.038,0.015,0.014,0.043,0.044,1.00E+01
8.48,9.26,3.331,0.001,0.03,0.012,0.011,0.034,0.035,1.00E+01
9.26,10.1,2.679,0,0.023,0.01,0.009,0.027,0.027,1.00E+01
10.1,11,2.155,0,0.018,0.008,0.008,0.021,0.021,1.00E+01
11,12,1.731,0,0.014,0.006,0.006,0.017,0.017,1.00E+01
12,13,1.395,0,0.011,0.005,0.005,0.014,0.014,1.00E+01
13,14.1,1.132,0,0.009,0.004,0.004,0.011,0.011,1.00E+01
14.1,15.3,9.141,0.002,0.07,0.035,0.035,0.086,0.088,1.00E+00
15.3,16.6,7.363,0.002,0.054,0.029,0.029,0.068,0.07,1.00E+00
16.6,18,5.929,0.001,0.042,0.024,0.024,0.054,0.055,1.00E+00
18,19.5,4.774,0.001,0.032,0.02,0.019,0.042,0.043,1.00E+00
19.5,21.1,3.85,0.001,0.026,0.016,0.016,0.034,0.035,1.00E+00
21.1,22.8,3.11,0.001,0.021,0.014,0.013,0.028,0.029,1.00E+00
22.8,24.7,2.506,0.001,0.017,0.011,0.011,0.023,0.024,1.00E+00
24.7,26.7,2.013,0.001,0.013,0.009,0.009,0.018,0.019,1.00E+00
26.7,28.8,1.628,0,0.011,0.008,0.007,0.015,0.015,1.00E+00
28.8,31.1,1.316,0,0.009,0.006,0.006,0.012,0.012,1.00E+00
31.1,33.5,1.066,0,0.007,0.005,0.005,0.01,0.01,1.00E+00
